"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C5,C6,C10","100u","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","5",""
"C3,C4,C7,C11","100p","~","Capacitor_SMD:C_1206_3216Metric","4",""
"C8,C9","5n6","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","2",""
"C12,C15","10u","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2",""
"C13,C14,C16,C17","100n","~","Capacitor_SMD:C_1206_3216Metric","4",""
"J1","Conn_02x05_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","1",""
"J2,J4","Conn_01x02","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"R1,R2,R3,R4,R6,R7","2k7","~","Resistor_SMD:R_1206_3216Metric","6",""
"R5","1k","~","Resistor_SMD:R_1206_3216Metric","1",""
"R8,R18","1k8","~","Resistor_SMD:R_1206_3216Metric","2",""
"R9,R11","270R","~","Resistor_SMD:R_1206_3216Metric","2",""
"R10,R13","1k5","~","Resistor_SMD:R_1206_3216Metric","2",""
"R12,R15","390R","~","Resistor_SMD:R_1206_3216Metric","2",""
"R14","330R","~","Resistor_SMD:R_1206_3216Metric","1",""
"R16","1k2","~","Resistor_SMD:R_1206_3216Metric","1",""
"R17","47k","~","Resistor_SMD:R_1206_3216Metric","1",""
"R19","22k","~","Resistor_SMD:R_1206_3216Metric","1",""
"R20","8k2","~","Resistor_SMD:R_1206_3216Metric","1",""
"R21,R22,R23,R24","0R","~","Resistor_SMD:R_1206_3216Metric","4",""
"RV1","4k7","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"RV2,RV3","10k","~","-- mixed values --","2",""
"U1,U2","OPA1679","http://www.ti.com/lit/ds/symlink/opa1678.pdf","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","2",""
